SMILES,xtbS1,xtbT1
C[C@]12CC[N@]1CC2=O,4.175,4.161
C[C@]12CO[C@H]1CC2=O,4.308,4.296
C[C@]12NC[C@H]1OC2=N,5.585,5.567
C[C@]12NC[C@H]1OC2=O,5.463,5.462
C[C@]12OC[C@H]1CC2=O,3.853,3.838
C[C@]12OC[C@H]1NC2=N,5.15,4.72
C[C@]12OC[C@H]1NC2=O,5.438,5.362
C[C@]12OC[C@H]1OC2=N,5.701,5.695
C[C@]12OC[C@H]1OC2=O,5.469,5.457
N[C@]12CC[C@H]1OC2=N,6.015,6.005
N[C@]12CC[C@H]1OC2=O,5.384,5.376
O[C@]12CC[C@H]1CC2=O,3.951,3.929
O[C@]12CC[C@H]1NC2=O,5.469,5.388
O[C@]12CC[C@H]1OC2=N,5.821,5.809
O[C@]12CC[C@H]1OC2=O,5.692,5.689
O[C@]12CN[C@H]1CC2=O,3.947,3.913
O[C@]12CO[C@H]1CC2=O,4.041,4.014
C[C@]12CC[C@H]1C[C@H]2O,7.13,7.127
C[C@]12CO[C@H]1C[C@H]2O,6.809,6.804
C[C@]12OC[C@H]1C[C@H]2O,6.633,6.63
C[C@H]1C[C@H]2CC[C@@]12C,7.401,7.398
C[C@H]1C[C@H]2CC[C@@]12O,7.083,7.08
C[C@H]1C[C@H]2CO[C@@]12C,6.745,6.741
C[C@H]1C[C@H]2OC[C@@]12C,6.935,6.932
C[C@H]1C[C@H]2OC[C@@]12O,6.861,6.857
C[C@H]1O[C@H]2CC[C@@]12C,6.902,6.891
C[C@H]1O[C@H]2CC[C@@]12O,6.777,6.773
C[C@H]1O[C@H]2CO[C@@]12C,6.721,6.715
CN1C[C@H]2OC[C@@]12C,5.623,5.603
O[C@H]1C[C@H]2CC[C@@]12O,6.932,6.929
O[C@H]1C[C@H]2OC[C@@]12O,6.533,6.529
C[C@]12C[C@H]1C[C@H]2C#C,6.689,6.688
C[C@]12C[C@H]1C[C@H]2C#N,6.612,6.611
C[C@]12C[C@H]1N[C@H]2C#N,6.256,6.248
C[C@]12C[C@H]1O[C@H]2C#C,6.208,6.203
C[C@]12C[C@H]1O[C@H]2C#N,6.14,6.134
C[C@]12C[N@]1C[C@H]2C#N,6.606,6.592
C[C@]12N[C@H]1C[C@H]2C#C,6.871,6.868
C[C@]12N[C@H]1C[C@H]2C#N,6.823,6.821
C[C@]12O[C@H]1C[C@H]2C#C,6.358,6.353
C[C@]12O[C@H]1C[C@H]2C#N,6.362,6.354
N[C@]12C[C@H]1N[C@H]2C#N,5.5,5.49
N[C@]12C[C@H]1O[C@H]2C#N,5.284,5.273
O[C@]12C[C@H]1C[C@H]2C#C,6.68,6.679
O[C@]12C[C@H]1C[C@H]2C#N,6.556,6.552
O[C@]12C[C@H]1N[C@H]2C#C,6.156,6.149
O[C@]12C[C@H]1N[C@H]2C#N,6.062,6.052
O[C@]12C[C@H]1O[C@H]2C#C,6.131,6.123
O[C@]12C[C@H]1O[C@H]2C#N,6.003,5.992
C[C@]12C[C@H]1C[C@H]2C=O,4.296,4.295
C[C@]12C[C@H]1CN2C=O,5.664,5.454
C[C@]12C[C@H]1O[C@H]2C=O,4.24,4.235
C[C@]12C[N@]1C[C@H]2C=O,4.319,4.319
C[C@]12N[C@H]1C[C@H]2C=O,4.274,4.267
C[C@]12O[C@H]1C[C@H]2C=O,4.349,4.347
O[C@]12C[C@H]1C[C@H]2C=O,4.251,4.244
O[C@]12C[C@H]1N[C@H]2C=O,4.197,4.195
O[C@]12C[C@H]1O[C@H]2C=O,4.225,4.22
C/N=C/1\N[C@H]2C[C@@]12O,4.875,4.69
C/N=C/1\O[C@H]2C[C@@]12C,5.8,5.814
C/N=C/1\O[C@H]2C[C@@]12N,6.23,6.018
C/N=C/1\O[C@H]2C[C@@]12O,5.784,5.744
C[C@]12C[C@H]1C[C@H]2CO,6.592,6.588
C[C@]12C[C@H]1O[C@H]2CO,6.185,6.177
C[C@]12C[N@]1C[C@H]2CO,6.586,6.574
C[C@]12N[C@H]1C[C@H]2CO,6.79,6.786
C[C@]12O[C@H]1C[C@H]2CO,6.413,6.405
CC[C@H]1C[C@H]2C[C@@]12C,6.677,6.674
CC[C@H]1C[C@H]2C[C@@]12O,6.647,6.645
CC[C@H]1C[C@H]2O[C@@]12C,6.444,6.437
CC[C@H]1O[C@H]2C[C@@]12C,6.205,6.198
CC[C@H]1O[C@H]2C[C@@]12O,6.18,6.17
CO[C@H]1C[C@H]2C[C@@]12C,6.672,6.669
CO[C@H]1C[C@H]2C[C@@]12O,6.38,6.375
CO[C@H]1C[C@H]2N[C@@]12C,6.748,6.744
CO[C@H]1C[C@H]2O[C@@]12C,6.214,6.208
CO[C@H]1C[N@]2C[C@@]12C,6.756,6.744
OC[C@H]1C[C@H]2C[C@@]12O,6.437,6.434
OC[C@H]1O[C@H]2C[C@@]12O,6.3,6.292
C[C@]12C[C@H]1C=CCC2,5.403,4.855
C[C@]12C[C@H]1C=CCO2,5.02,4.574
C[C@]12C[C@H]1N=COC2,5.571,5.189
C[C@]12CCC=C[C@H]1N2,5.499,4.752
C[C@]12CCC=C[C@H]1O2,5.98,4.896
O[C@]12C[C@H]1C=CCC2,5.408,4.862
O[C@]12C[C@H]1N=COC2,5.382,5.126
C[C@]12C[C@H]1CC=CC2,6.458,5.319
C[C@]12C[C@H]1CN=CO2,6.317,5.768
C[C@]12C[C@H]1OC=NC2,6.212,5.717
C[C@]12CC=CC[C@H]1O2,5.87,5.356
O[C@]12C[C@H]1CC=CC2,6.037,5.317
O[C@]12C[C@H]1OC=NC2,5.813,5.533
C[C@]12C[C@H]1CCC=C2,5.438,4.901
C[C@]12C[C@H]1COC=N2,5.586,5.232
C[C@]12C[C@H]1OCC=C2,5.125,4.622
C[C@]12N[C@H]1CCC=C2,5.65,4.785
C[C@]12O[C@H]1CCC=C2,6.113,4.947
O[C@]12C[C@H]1CCC=C2,5.389,4.828
O[C@]12C[C@H]1OCC=C2,5.067,4.537
C[C@]12C[C@H]1CCCC2,7.112,7.109
C[C@]12C[C@H]1CCCO2,6.499,6.494
C[C@]12C[C@H]1CCOC2,6.763,6.755
C[C@]12C[C@H]1COCC2,6.677,6.669
C[C@]12C[C@H]1COCO2,6.456,6.45
C[C@]12C[C@H]1OCCC2,6.033,6.029
C[C@]12C[C@H]1OCCO2,6.01,6.008
C[C@]12C[C@H]1OCOC2,6.194,6.188
C[C@]12CCCC[C@H]1O2,7.242,7.229
C[C@]12CCOC[C@H]1N2,6.724,6.719
C[C@]12CCOC[C@H]1O2,6.74,6.734
C[C@]12C[N@]1CCOC2,5.853,5.84
C[C@]12COCC[C@H]1N2,6.743,6.738
C[C@]12COCC[C@H]1O2,6.72,6.715
O[C@]12C[C@H]1CCCC2,6.84,6.838
O[C@]12C[C@H]1CCOC2,6.636,6.629
O[C@]12C[C@H]1COCC2,6.543,6.535
O[C@]12C[C@H]1OCCC2,6.037,6.032
O[C@]12C[C@H]1OCOC2,6.119,6.113
C[C@@]12CC[C]1[CH]CC2,5.876,4.575
C[C@@]12CC[C]1[CH]CO2,5.456,4.299
C[C@@]12CC[CH][C]1CO2,5.556,4.324
C[C@@]12COC1=NCC2,5.092,4.917
O[C@@]12CC[C]1[CH]CC2,5.864,4.547
O[C@@]12CN[C]1[N]CC2,4.936,4.354
O[C@@]12COC1=NCC2,4.894,4.712
C[C@]12CC=C[C@H]1CO2,5.986,5.189
C[C@]12CC[C@H]1C=CC2,5.91,5.211
C[C@]12CC[C@H]1N=CO2,6.103,5.578
C[C@]12CO[C@H]1C=CC2,6.595,5.249
O[C@]12CC[C@H]1C=CC2,5.929,5.222
O[C@]12CO[C@H]1C=CC2,6.575,5.253
C[C@]12CC[C@H]1CC=C2,6.332,5.267
C[C@]12CC[C@H]1OC=N2,6.188,5.644
C[C@]12CO[C@H]1CC=C2,6.44,5.25
C[C@]12OC[C@H]1CC=C2,6.254,5.285
O[C@]12CC[C@H]1CC=C2,6.447,5.256
O[C@]12CO[C@H]1CC=C2,6.407,5.219
C[C@]12CC[C@H]1CCC2,7.907,7.904
C[C@]12CC[C@H]1CCO2,6.762,6.758
C[C@]12CC[C@H]1COC2,6.927,6.919
C[C@]12CC[C@H]1OCC2,6.783,6.78
C[C@]12CC[C@H]1OCO2,6.618,6.61
C[C@]12CCC[C@H]1CO2,6.764,6.759
C[C@]12CCO[C@H]1CO2,6.803,6.8
C[C@]12CO[C@H]1CCC2,7.059,7.053
C[C@]12CO[C@H]1CCO2,6.824,6.819
C[C@]12CO[C@H]1COC2,6.769,6.759
C[C@]12COC[C@H]1CO2,6.753,6.746
O[C@]12CC[C@H]1CCC2,6.947,6.944
O[C@]12CC[C@H]1COC2,6.867,6.862
O[C@]12CC[C@H]1OCC2,6.596,6.592
O[C@]12CO[C@H]1CCC2,6.924,6.92
O[C@]12CO[C@H]1COC2,6.721,6.715
C[C@]12CC=C[C@H]1[C@H]2O,5.522,4.636
C[C@]12OC=N[C@H]1[C@H]2O,5.623,5.217
C[C@H]1[C@H]2C=CC[C@@]12C,5.821,4.802
C[C@H]1[C@H]2C=CC[C@@]12O,5.746,4.816
C[C@H]1[C@H]2N=CO[C@@]12C,5.811,5.337
O[C@H]1[C@H]2C=CC[C@@]12O,5.352,4.651
C[C@]12N=CO[C@H]1[C@H]2O,5.643,5.31
C[C@H]1[C@H]2CC=C[C@@]12C,6.005,4.846
C[C@H]1[C@H]2CC=C[C@@]12O,5.912,4.779
C[C@H]1[C@H]2OC=N[C@@]12C,5.813,5.409
O[C@H]1[C@H]2CC=C[C@@]12O,5.828,4.793
C[C@]12CCC[C@H]1[C@H]2O,6.22,6.219
C[C@]12CCO[C@H]1[C@H]2O,6.078,6.072
C[C@]12COC[C@H]1[C@H]2O,6.209,6.209
C[C@]12OCC[C@H]1[C@H]2O,6.03,6.021
C[C@]12OCO[C@H]1[C@H]2O,5.868,5.863
C[C@H]1[C@H]2CCC[C@@]12C,6.972,6.971
C[C@H]1[C@H]2CCC[C@@]12O,6.742,6.74
C[C@H]1[C@H]2CCO[C@@]12C,6.125,6.122
C[C@H]1[C@H]2COC[C@@]12C,6.658,6.654
C[C@H]1[C@H]2COC[C@@]12O,6.621,6.62
C[C@H]1[C@H]2OCC[C@@]12C,6.168,6.162
C[C@H]1[C@H]2OCC[C@@]12O,6.186,6.178
C[C@H]1[C@H]2OCO[C@@]12C,5.988,5.984
CN1[C@H]2COC[C@@]12C,5.975,5.947
O[C@H]1[C@H]2CCC[C@@]12O,6.66,6.657
O[C@H]1[C@H]2COC[C@@]12O,6.549,6.546
O[C@H]1[C@H]2OCC[C@@]12O,5.944,5.938
C[C@]12CC[C@H]1[C@H]2C#C,6.716,6.716
C[C@]12CC[C@H]1[C@H]2C#N,6.843,6.84
C[C@]12CC[N@]1[C@H]2C#C,6.51,6.503
C[C@]12CC[N@]1[C@H]2C#N,6.664,6.653
C[C@]12CN[C@H]1[C@H]2C#N,6.055,6.053
C[C@]12CO[C@H]1[C@H]2C#C,6.056,6.05
C[C@]12CO[C@H]1[C@H]2C#N,6.151,6.145
C[C@]12OC[C@H]1[C@H]2C#C,5.996,5.995
C[C@]12OC[C@H]1[C@H]2C#N,6.082,6.081
N[C@]12CN[C@H]1[C@H]2C#N,5.878,5.865
N[C@]12CO[C@H]1[C@H]2C#N,5.987,5.97
O[C@]12CC[C@H]1[C@H]2C#C,6.342,6.34
O[C@]12CC[C@H]1[C@H]2C#N,6.432,6.427
O[C@]12CN[C@H]1[C@H]2C#N,5.926,5.92
O[C@]12CO[C@H]1[C@H]2C#C,6.037,6.032
O[C@]12CO[C@H]1[C@H]2C#N,6.173,6.168
C[C@]12CC[C@H]1[C@H]2C=O,4.203,4.22
C[C@]12CC[C@H]1N2C=O,5.263,5.083
C[C@]12CC[N@]1[C@H]2C=O,4.337,4.314
C[C@]12CO[C@H]1[C@H]2C=O,3.942,3.939
C[C@]12OC[C@H]1[C@H]2C=O,3.903,3.887
O[C@]12CC[C@H]1[C@H]2C=O,3.848,3.822
C[C@]12CC[C@H]1[C@H]2CO,6.51,6.508
C[C@]12CC[N@]1[C@H]2CO,6.463,6.456
C[C@]12CO[C@H]1[C@H]2CO,6.06,6.058
C[C@]12OC[C@H]1[C@H]2CO,6.021,6.02
CC[C@H]1[C@H]2CC[C@@]12C,6.585,6.584
CC[C@H]1[C@H]2CC[C@@]12O,6.554,6.551
CC[C@H]1[C@H]2CO[C@@]12C,6.091,6.089
CC[C@H]1[C@H]2OC[C@@]12C,6.109,6.105
CC[C@H]1[C@H]2OC[C@@]12O,6.065,6.059
CO[C@H]1[C@H]2CC[C@@]12C,6.327,6.325
CO[C@H]1[C@H]2CC[C@@]12O,6.009,6.007
CO[C@H]1[C@H]2CO[C@@]12C,5.782,5.781
CO[C@H]1[C@H]2NC[C@@]12O,5.821,5.817
CO[C@H]1[C@H]2OC[C@@]12C,5.808,5.803
CO[C@H]1[C@H]2OC[C@@]12O,5.823,5.816
OC[C@H]1[C@H]2CC[C@@]12O,6.556,6.553
OC[C@H]1[C@H]2OC[C@@]12O,6.176,6.166
C[C@]12[C@@H](O)[C@H]1CC2=O,4.121,4.114
C[C@]12[C@@H](O)[C@H]1NC2=O,4.886,4.643
C[C@]12[C@@H](O)[C@H]1OC2=N,6.208,5.806
C[C@]12[C@@H](O)[C@H]1OC2=O,5.536,5.5
C[C@H]1[C@H]2CC(=O)[C@@]12C,4.32,4.324
C[C@H]1[C@H]2CC(=O)[C@@]12O,4.544,4.142
C[C@H]1[C@H]2NC(=O)[C@@]12C,4.891,4.622
C[C@H]1[C@H]2NC(=O)[C@@]12O,4.731,4.488
C[C@H]1[C@H]2OC(=N)[C@@]12C,5.965,5.871
C[C@H]1[C@H]2OC(=N)[C@@]12N,5.972,5.875
C[C@H]1[C@H]2OC(=N)[C@@]12O,5.715,5.64
C[C@H]1[C@H]2OC(=O)[C@@]12C,5.59,5.604
C[C@H]1[C@H]2OC(=O)[C@@]12N,5.31,5.284
C[C@H]1[C@H]2OC(=O)[C@@]12O,5.344,5.305
C[C@H]1[N@]2CC(=O)[C@@]12C,3.947,3.913
CN1[C@H]2CC(=O)[C@@]12C,4.132,3.996
N[C@]12[C@@H](O)[C@H]1NC2=O,4.631,4.46
N[C@]12[C@@H](O)[C@H]1OC2=N,5.927,5.676
N[C@]12[C@@H](O)[C@H]1OC2=O,5.389,5.348
N[C@H]1[C@H]2NC(=N)[C@@]12O,4.706,4.319
N[C@H]1[C@H]2OC(=N)[C@@]12N,5.428,5.239
N[C@H]1[C@H]2OC(=O)[C@@]12N,4.962,4.878
O[C@H]1[C@H]2CC(=O)[C@@]12O,4.539,4.357
O[C@H]1[C@H]2NC(=N)[C@@]12O,5.064,4.574
O[C@H]1[C@H]2NC(=O)[C@@]12O,4.694,4.428
O[C@H]1[C@H]2OC(=N)[C@@]12O,5.81,5.601
O[C@H]1[C@H]2OC(=O)[C@@]12O,5.25,5.17
C[C@]12[C@@H](O)[C@H]1C[C@H]2O,6.332,6.33
C[C@H]1[C@H]2C[C@@H](C)[C@@]12C,6.617,6.617
C[C@H]1[C@H]2C[C@@H](C)[C@@]12O,6.612,6.61
C[C@H]1[C@H]2C[C@@H](O)[C@@]12C,6.712,6.711
C[C@H]1[C@H]2C[C@@H](O)[C@@]12O,6.551,6.549
C[C@H]1[C@H]2O[C@@H](C)[C@@]12C,6.168,6.164
C[C@H]1[C@H]2O[C@@H](C)[C@@]12O,6.116,6.111
C[C@H]1C[C@H]2[C@@H](O)[C@@]12C,6.444,6.442
C[C@H]1C[C@H]2[C@@H](O)[C@@]12O,6.112,6.11
C[C@H]1[N@]2C[C@@H](O)[C@@]12C,6.623,6.609
C[C@H]1O[C@H]2[C@@H](O)[C@@]12C,5.992,5.989
C[C@H]1O[C@H]2[C@@H](O)[C@@]12O,5.845,5.841
CN1[C@H]2C[C@@H](O)[C@@]12C,5.811,5.788
O[C@H]1[C@H]2C[C@@H](O)[C@@]12O,6.406,6.403
C[C@]12C[C@H]1C=CC2=O,3.156,3.129
C[C@]12CN1C=CC2=O,3.316,3.257
C[C@]12N[C@H]1C=CC2=O,3.149,3.127
C[C@]12O[C@H]1C=CC2=O,3.07,3.063
O[C@]12C[C@H]1C=CC2=O,3.133,3.076
C[C@]12C[C@H]1CCC2=O,4.526,4.524
C[C@]12C[C@H]1CNC2=O,5.596,5.445
C[C@]12C[C@H]1COC2=N,6.292,5.783
C[C@]12C[C@H]1COC2=O,6.003,6.005
C[C@]12C[C@H]1OCC2=O,4.281,4.252
C[C@]12C[N@]1CCC2=O,4.366,4.38
C[C@]12N[C@H]1CCC2=O,4.349,4.358
C[C@]12N[C@H]1CNC2=O,5.397,5.364
C[C@]12N[C@H]1COC2=N,5.951,5.757
C[C@]12N[C@H]1COC2=O,5.678,5.691
C[C@]12O[C@H]1CCC2=O,4.125,4.119
C[C@]12O[C@H]1CNC2=O,5.67,5.472
C[C@]12O[C@H]1COC2=N,6.104,5.832
C[C@]12O[C@H]1COC2=O,5.506,5.498
N[C@]12C[C@H]1COC2=O,5.584,5.566
O[C@]12C[C@H]1CCC2=O,4.56,4.454
O[C@]12C[C@H]1CNC2=O,5.464,5.384
O[C@]12C[C@H]1COC2=N,6.031,5.638
O[C@]12C[C@H]1COC2=O,5.702,5.628
O[C@]12C[C@H]1NCC2=O,4.35,4.244
O[C@]12C[C@H]1OCC2=O,3.973,3.947
C[C@]12O[C@H]1CN=C2N,5.455,4.721
CC1=CC[C@H]2C[C@@]12C,5.891,4.783
CC1=CC[C@H]2C[C@@]12O,5.506,4.639
CC1=CC[C@H]2N[C@@]12C,5.821,4.686
CC1=CC[C@H]2O[C@@]12C,6.166,4.81
C[C@]12C[C@H]1C=C[C@H]2O,5.959,4.791
C[C@]12N[C@H]1C=C[C@H]2O,5.688,4.711
C[C@]12O[C@H]1C=C[C@H]2O,5.401,4.879
C[C@H]1C=C[C@H]2C[C@@]12C,5.962,4.866
C[C@H]1C=C[C@H]2C[C@@]12O,6.06,4.865
C[C@H]1C=C[C@H]2N[C@@]12C,5.453,4.845
C[C@H]1C=C[C@H]2O[C@@]12C,5.967,4.957
O[C@H]1C=C[C@H]2C[C@@]12O,5.824,4.77
C[C@]12C[C@H]1CC[C@H]2O,7.063,7.061
C[C@]12C[C@H]1OC[C@H]2O,6.083,6.08
C[C@]12C[N@]1CC[C@H]2O,6.466,6.451
C[C@]12N[C@H]1CC[C@H]2O,6.703,6.7
C[C@]12O[C@H]1CC[C@H]2O,6.754,6.749
C[C@H]1CC[C@H]2C[C@@]12C,7.051,7.048
C[C@H]1CC[C@H]2C[C@@]12O,6.943,6.942
C[C@H]1CC[C@H]2O[C@@]12C,6.898,6.891
C[C@H]1CO[C@H]2C[C@@]12C,6.092,6.089
C[C@H]1CO[C@H]2C[C@@]12O,6.079,6.075
C[C@H]1OC[C@H]2C[C@@]12C,6.792,6.783
C[C@H]1OC[C@H]2C[C@@]12O,6.777,6.771
C[C@H]1OC[C@H]2N[C@@]12C,6.491,6.486
C[C@H]1OC[C@H]2O[C@@]12C,6.568,6.563
O[C@H]1CC[C@H]2C[C@@]12O,7.003,7.002
O[C@H]1CO[C@H]2C[C@@]12O,6.098,6.095
N=C1OC[C@H]1CC#C,6.054,5.962
N=C1OC[C@H]1CC#N,6.362,6.001
O=C1CC[C@H]1CC#C,4.186,4.177
O=C1CC[C@H]1CC#N,4.234,4.225
O=C1CCN1CC#C,5.872,5.327
O=C1CCN1CC#N,5.708,5.38
O=C1CN[C@H]1CC#C,4.151,4.146
O=C1CN[C@H]1CC#N,4.186,4.178
O=C1CO[C@H]1CC#C,4.218,4.208
O=C1CO[C@H]1CC#N,4.246,4.234
O=C1NC[C@H]1CC#C,5.733,5.657
O=C1NC[C@H]1CC#N,6.021,5.625
O=C1OC[C@H]1CC#C,5.901,5.898
O=C1OC[C@H]1CC#N,5.94,5.936
N=C1OC[C@H]1CC=O,4.438,4.437
N=C1OC[C@H]1NC=O,5.95,5.859
N=C1OC[C@H]1OC=O,6.136,6.056
N=CO[C@H]1CCC1=O,4.077,4.068
N=CO[C@H]1CNC1=O,5.557,5.561
N=CO[C@H]1COC1=N,5.993,5.987
N=CO[C@H]1COC1=O,5.678,5.676
O=CC[C@H]1CCC1=O,4.218,4.21
O=CC[C@H]1CNC1=O,4.419,4.419
O=CC[C@H]1COC1=O,4.441,4.441
O=CC[C@H]1NCC1=O,4.16,4.153
O=CC[C@H]1OCC1=O,4.23,4.221
O=CCN1CCC1=O,4.073,4.067
O=CN[C@H]1CCC1=O,4.039,4.029
O=CN[C@H]1CNC1=O,5.726,5.651
O=CN[C@H]1COC1=O,5.571,5.568
O=CO[C@H]1CCC1=O,4.129,4.12
O=CO[C@H]1CNC1=O,5.797,5.666
O=CO[C@H]1COC1=O,5.772,5.768
CC#C[C@H]1CCC1=O,4.104,4.092
CC#C[C@H]1CNC1=O,5.9,5.681
CC#C[C@H]1COC1=N,6.28,5.998
CC#C[C@H]1COC1=O,5.712,5.7
CC#C[C@H]1NCC1=O,4.065,4.05
CC#C[C@H]1OCC1=O,4.088,4.074
CC#C[C@H]1CC[C@H]1C,6.779,6.771
CC#C[C@H]1CC[C@H]1O,6.639,6.631
CC#C[C@H]1CO[C@H]1C,6.767,6.758
CC#C[C@H]1OC[C@H]1C,6.738,6.725
CC#C[C@H]1OC[C@H]1O,6.62,6.611
C[C@H]1CC[C@H]1CC#C,7.604,7.592
C[C@H]1CC[C@H]1CC#N,7.961,7.956
C[C@H]1CCN1CC#N,5.592,5.567
C[C@H]1CO[C@H]1CC#C,6.847,6.839
C[C@H]1CO[C@H]1CC#N,6.861,6.851
C[C@H]1OC[C@H]1CC#C,6.811,6.805
C[C@H]1OC[C@H]1CC#N,6.701,6.694
CN1CC[C@H]1CC#N,5.643,5.606
O[C@H]1CC[C@H]1CC#C,6.902,6.894
O[C@H]1CC[C@H]1CC#N,6.83,6.821
O[C@H]1CN[C@H]1CC#N,6.086,6.079
O[C@H]1CO[C@H]1CC#C,6.714,6.706
O[C@H]1CO[C@H]1CC#N,6.693,6.685
C[C@H]1CC[C@H]1CC=O,4.391,4.391
C[C@H]1CC[C@H]1NC=O,6.094,5.672
C[C@H]1CC[C@H]1OC=O,6.265,6.265
C[C@H]1CCN1CC=O,4.239,4.238
C[C@H]1CO[C@H]1CC=O,4.39,4.39
C[C@H]1OC[C@H]1CC=O,4.395,4.394
C[C@H]1OC[C@H]1NC=O,6.102,5.695
C[C@H]1OC[C@H]1OC=N,6.535,6.12
C[C@H]1OC[C@H]1OC=O,6.283,6.284
O[C@H]1CC[C@H]1CC=O,4.398,4.398
O[C@H]1CC[C@H]1NC=O,6.084,5.654
O[C@H]1CC[C@H]1OC=N,6.551,6.045
O[C@H]1CC[C@H]1OC=O,6.263,6.262
O[C@H]1CO[C@H]1CC=O,4.419,4.419
C/N=C/N1CCC1=O,5.586,4.427
CC/N=C/1\NC[C@H]1O,5.078,4.816
CC/N=C/1\OC[C@H]1C,6.286,5.98
CC/N=C/1\OC[C@H]1N,6.111,5.99
CC/N=C/1\OC[C@H]1O,6.179,5.949
CCC[C@H]1CCC1=O,4.176,4.167
CCC[C@H]1CNC1=O,6.02,5.611
CCC[C@H]1COC1=N,6.333,5.989
CCC[C@H]1COC1=O,5.9,5.898
CCC[C@H]1NCC1=O,4.151,4.143
CCC[C@H]1OCC1=O,4.209,4.198
CCCN1CCC1=O,5.729,5.251
CCN[C@H]1COC1=N,5.742,5.696
CCN[C@H]1COC1=O,5.596,5.561
CCO[C@H]1CCC1=O,4.179,4.17
CCO[C@H]1CNC1=O,5.72,5.54
CCO[C@H]1COC1=N,5.999,6.002
CCO[C@H]1COC1=O,5.859,5.858
COC[C@H]1CCC1=O,4.251,4.242
COC[C@H]1CNC1=O,5.958,5.583
COC[C@H]1COC1=N,6.399,5.998
COC[C@H]1COC1=O,5.988,5.984
COC[C@H]1NCC1=O,4.238,4.227
COC[C@H]1OCC1=O,4.286,4.275
OCC[C@H]1CCC1=O,4.148,4.139
OCC[C@H]1CNC1=O,5.912,5.656
OCC[C@H]1COC1=N,5.984,6.004
OCC[C@H]1COC1=O,5.852,5.848
OCC[C@H]1NCC1=O,4.151,4.142
OCC[C@H]1OCC1=O,4.22,4.209
OCCN1CCC1=O,5.729,5.168
C[C@H]1CC[C@H]1CCO,7.391,7.381
C[C@H]1CO[C@H]1CCO,6.851,6.843
C[C@H]1OC[C@H]1CCO,6.905,6.898
CCC[C@H]1CC[C@H]1C,8.058,8.051
CCC[C@H]1CC[C@H]1O,7.137,7.134
CCC[C@H]1CO[C@H]1C,6.922,6.911
CCC[C@H]1OC[C@H]1C,6.829,6.822
CCC[C@H]1OC[C@H]1O,6.868,6.863
CCO[C@H]1CC[C@H]1C,6.589,6.582
CCO[C@H]1CC[C@H]1O,6.56,6.553
CCO[C@H]1CO[C@H]1C,6.556,6.548
COC[C@H]1CC[C@H]1C,6.714,6.713
COC[C@H]1CC[C@H]1O,6.68,6.679
COC[C@H]1CO[C@H]1C,6.744,6.745
COC[C@H]1OC[C@H]1C,6.718,6.717
COC[C@H]1OC[C@H]1O,6.69,6.69
OCC[C@H]1CC[C@H]1O,6.974,6.968
OCC[C@H]1OC[C@H]1O,6.89,6.886
N=C(C#N)N1CCC1,4.8,3.364
O=C(C#C)C1CCC1,4.293,4.289
O=C(C#C)[C@H]1CCO1,3.959,3.962
O=C(C#C)C1COC1,4.339,4.337
O=C(C#C)N1CCC1,5.687,4.681
O=C(C#N)C1CCC1,4.023,4.021
O=C(C#N)[C@H]1CCN1,3.524,3.508
O=C(C#N)[C@H]1CCO1,3.697,3.692
O=C(C#N)C1COC1,4.065,4.062
O=C(C#N)N1CCC1,5.48,4.259
N=C(C=O)N1CCC1,3.079,2.155
O=CC(=O)C1CCC1,2.179,2.177
O=CC(=O)[C@H]1CCO1,2.05,2.045
O=CC(=O)C1COC1,2.184,2.183
O=CC(=O)N1CCC1,2.972,2.96
C[C@@H](C#C)C1CCC1,7.671,7.656
C[C@@H](C#C)[C@H]1CCO1,6.743,6.739
C[C@@H](C#C)C1COC1,6.862,6.859
C[C@@H](C#N)C1CCC1,8.179,8.174
C[C@@H](C#N)[C@H]1CCO1,6.755,6.749
C[C@@H](C#N)C1COC1,6.748,6.743
C[C@@H](C#N)N1CCC1,5.637,5.603
N[C@@H](C#N)C1CCC1,6.483,6.471
N[C@@H](C#N)[C@H]1CCO1,6.192,6.186
N[C@@H](C#N)C1COC1,6.422,6.41
O[C@@H](C#C)C1CCC1,7.351,7.329
O[C@@H](C#C)[C@H]1CCO1,6.665,6.66
O[C@@H](C#C)C1COC1,6.812,6.809
O[C@@H](C#N)C1CCC1,7.379,7.365
O[C@@H](C#N)[C@H]1CCO1,6.682,6.671
O[C@@H](C#N)C1COC1,6.685,6.681
C[C@@H](C=O)C1CCC1,4.421,4.42
C[C@@H](C=O)[C@H]1CCO1,4.447,4.446
C[C@@H](C=O)C1COC1,4.428,4.427
C[C@@H](C=O)N1CCC1,4.194,4.193
CN(C=O)C1CCC1,5.857,5.484
CN(C=O)C1COC1,5.75,5.463
O[C@@H](C=O)C1CCC1,4.452,4.458
O[C@@H](C=O)[C@H]1CCO1,4.412,4.406
O[C@@H](C=O)C1COC1,4.517,4.515
CCC(=O)C1CCC1,4.554,4.55
CCC(=O)[C@H]1CCO1,4.324,4.316
CCC(=O)C1COC1,4.588,4.584
CCC(=O)N1CCC1,5.585,5.303
CNC(=O)C1CCC1,5.987,5.537
CNC(=O)[C@H]1CCO1,5.802,5.62
CNC(=O)C1COC1,5.892,5.556
CNC(=O)N1CCC1,5.345,5.338
COC(=O)C1CCC1,6.194,6.193
COC(=O)[C@H]1CCN1,5.904,5.89
